CATEGORY,INCLUDE (1=yes; 0=no),DESCRIPTION,ROW_ID,,
Physician ,1,Fellow Admit Addendum,14,,
Physician ,1,Admission Note,14,,
Radiology,,CT STEREOTAXIS NEURO W/O C,14,,
Radiology,,C-SPINE (SINGLE VIEW ONLY),14,,
Radiology,,PTA BRACHIOCEPHALIC,14,,
Radiology,,CT TRACHEA W&W/O C & 3D REND,14,,
Radiology,,LO HUMERUS (AP & LAT) LEFT IN O.R.,14,,
Radiology,,CT THORACIC W&W/O CONTRAST,14,,
Radiology,,CT MUSCLE (SOFT TISSUE) BX,14,,
Radiology,,P ERCP S&I (74330) PORT,14,,
Radiology,,CAROTID/CEREBRAL UNILAT,14,,
Radiology,,R MR CALF W/O CONTRAST RIGHT,14,,
Radiology,,BOTH KNEES STANDING AP ONLY,14,,
Radiology,,BP FEMUR (AP & LAT) BILAT PORT,14,,
Radiology,,MRA LOWER EXT W&W/O CONTRAST,14,,
Radiology,,MR PROSTATE W & W/O CONTRAST,14,,
Rehab Services,1,Swallowing Consult,14,,
Radiology,,"P GB DRAINAGE,INTRO PERC TRANHEP BIL US PORT",14,,
Radiology,,THORACOSTOMY TUBE INSERTION,14,,
Radiology,,R ART DUP EXT UP UNI LMTD RIGHT,14,,
Radiology,,CTA PANCREAS W/ CTCP,14,,
Physician ,,CCU Resident Progress Note,14,,
Radiology,,"D OR J TUBE PLACEMENT, ALL INCL.",14,,
Radiology,,PERSANTINE MIBI 2-DAY,14,,
Radiology,,"PERC VERTEBROPSTY, LUMBAR",14,,
Radiology,,"R KNEE (AP, LAT & TUNNEL) RIGHT",14,,
Radiology,,ADD'L 2ND/3RD ORDER ABD/PEL/LOWER EXT A-GRAM,14,,
Radiology,,"LP KNEE (AP, LAT & OBLIQUE) LEFT PORT",14,,
Radiology,,L KNEE( (SINGLE VIEW) LEFT,14,,
Radiology,,INJ SINUS TRACT,14,,
Radiology,,"INJ SINUS TRACT, THERAPUTIC",14,,
Radiology,,R MR SHOULDER W&W/O CONTRAST RIGHT,14,,
Physician ,1,ICU Event Note - Family Meeting,13,,
Radiology,,MRA NECK W/CONTRAST,13,,
Radiology,,CT CHANGE PERCUTANEOUS TUBE,13,,
Radiology,,CT CERVICAL W&W/O CONSTRAST,13,,
Radiology,,L ART DUP EXT UP UNI LMTD LEFT,13,,
Radiology,,PR UNILAT LOWER EXT VEINS PORT RIGHT,13,,
Physician ,1,ICU Daily Note,13,,
Physician ,1,Attending Progress Note,13,,
Physician ,1,CVICU note,13,,
Radiology,,B HEEL (AXIAL & LATERAL) BILAT,13,,
Physician ,1,Attending note,13,,
Radiology,,P NEONATAL HIP PORT,13,,
Radiology,,L BABYGRAM CHEST DECUB ONLY (71035) LEFT,13,,
Radiology,,R MR THIGH W/O CONTRAST RIGHT,13,,
Radiology,,PELVIS US  LIMIT TRANSVAG,13,,
Radiology,,BX RETROPERITONEAL MASS PERCUT NEEDLE,13,,
Radiology,,LP ANKLE (2 VIEWS) LEFT PORT,13,,
Radiology,,ERCP S/P DUODENAL/ENTERAL STENT PLACEMENT,13,,
Radiology,,REPOSITION GTUBE THROUGH DUODENUM,13,,
Radiology,,ENTIRE SPINE (AP & LAT ONLY),13,,
Physician ,1,Physician Resident and Attending Admission Note -,13,,
Radiology,,BABYGRAM SEPARATE CXR & ABD VIEWS 2 FILMS,13,,
Radiology,,"TRANSLUMIN BAL ANGIOPLASTY, PERIPHERAL",13,,
Radiology,,CT PELVIS W/CONTRAST W/ONC TABLES,13,,
Physician ,1,Fellow/Attending Notes - MICU,12,,
Radiology,,INTRO GUIDE TO PELVIS OR URETHER,12,,
Radiology,,P CHEST (PORTABLE AP) PORT,12,,
Physician ,1,Attending  Note,12,,
Radiology,,THORACIC SINGLE VIEW IN OR,12,,
Physician ,1,Cardiology f/u,12,,
General,1,Initial H&P,12,,
Radiology,,R PUNC ASP ABSECC/HEMATOMA/BULA/CYST RIGHT,12,,
Physician ,1,Critical Care Note,12,,
Radiology,,L 36002 THROMBIN INJ PSEUDOANERYSM LEFT,12,,
Radiology,,MR SPINAL CANAL LIMITED W &W/O CONTRAST,12,,
Radiology,,THALLIUM SCAN FOR TUMOR,12,,
Radiology,,THY BX BY MCARDLE,12,,
Radiology,,P T-SPINE PORT,12,,
Radiology,,CTA CORONARY ARTERIES W/QUANTITATIVE CALCIUM,12,,
Physician ,1,Physician Resident /attending Progress Note - MICU,12,,
Radiology,,R MR ARM W&W/O CONTRAST RIGHT,12,,
Radiology,,ABSCESSOGRAM,12,,
Physician ,1,MICU Admission Note,12,,
Radiology,,"CATH,HEM/PERTI DIALYSIS SHORT TERM",12,,
Radiology,,P US INTRA-OP 30 MINS PORT,12,,
Radiology,,DRAINAGE HEMATOMA/SEROMA/FLUID COLLECTION,12,,
Radiology,,MECKEL'S SCAN,12,,
Physician ,1,MICU Fellow Note,12,,
Radiology,,PR VENOUS DUP EXT UNI (MAP/DVT) PORT RIGHT,12,,
General,1,Overnight Intensivist,12,,
Radiology,,P ABD (SINGLE VIEW ONLY) PORT,12,,
Radiology,,O LUMBO-SACRAL SPINE (AP & LAT) IN O.R.,12,,
General,1,Cardiology Fellow Addendum,12,,
Radiology,,ENDOVASCUALR REPAIR OF ABD AORTA,12,,
Radiology,,L FOOT (AP & LAT) SOFT TISSUE LEFT,12,,
Radiology,,PELVIS & SACRO-ILIAC,12,,
Physician ,1,Cardiology Resident Progress Note - CCU,12,,
Radiology,,REINSERT TRANSHEPATIC T-TUBE,12,,
Radiology,,MR HIP W/O CONRAST,12,,
Radiology,,MR INCOMPLETE STUDY,12,,
Radiology,,CT DRAIN PANCREATIC  CYST,12,,
Radiology,,CT CYSTOGRAM (PEL) W/O CONTRAST,12,,
Respiratory ,1,Respiratory Care,12,,
Radiology,,MRV CHEST W&W/O CONTRAST,12,,
Physician ,1,critical care admit note,12,,
Radiology,,"SKULL (CALDWELL, LFT LAT, TOWNES & BASE)",12,,
General,1,Cardiology,12,,
Physician ,1,ICU Attending Admission Note,12,,
Radiology,,"FNA, ANY LOCATION",12,,
Radiology,,R ART DUP EXT UP UNI OR LMTD RIGHT,12,,
Radiology,,"C-SPINE, TRAUMA (WITH FLEX & EXT)",12,,
Radiology,,RO HUMERUS (AP & LAT) RIGHT IN O.R.,12,,
Radiology,,R MAMMOGRAPHY SPECIMEN RIGHT,12,,
Radiology,,CYBER-INS MARKER LIVER,12,,
Radiology,,L MR HIP W&W/O CONTRAST LEFT,11,,
Radiology,,STENT CERVICAL/CAROTID W/O EMBOLIC PROTECTION,11,,
General,1,ICU Attending Note,11,,
Radiology,,R MR THIGH W&W/O CONTRAST RIGHT,11,,
Radiology,,SKULL FLUORO,11,,
Radiology,,MRV PELVIS W&W/O CONTRAST,11,,
Radiology,,R FEMUR (AP & LAT) SOFT TISSUE RIGHT,11,,
Radiology,,B UNILAT LOWER EXT VEINS BILAT,11,,
Radiology,,B UPPER EXTREM VEINS US BILAT,11,,
Radiology,,MRA KIDNEY W/O CONTRAST,11,,
Radiology,,L EMERG. LOWER EXT VEINS LEFT,11,,
Physician ,1,Cardiology fellow addendum,11,,
Radiology,,R ELBOW (AP & LAT) SOFT TISSUE RIGHT,11,,
Radiology,,R ANKLE 1 VIEW RIGHT,11,,
Radiology,,L FOREARM (AP & LAT) SOFT TISSUE LEFT,11,,
Radiology,,L HIP NAILING IN OR W/FILMS & FLUORO LEFT,11,,
Rehab Services,1,Progress Note,11,,
Radiology,,"SINUSES, COMPLETE MIN 3 VIEWS",11,,
Rehab Services,1,Physical Therapy Re-evaluation Note,11,,
Radiology,,PERC CHOLECCYSTOMY,11,,
Radiology,,P NASO-INTESTINAL TUBE PLACEMENT (W/FLUORO) PORT,11,,
Radiology,,INTRODUCTION LONG GI TUBE,11,,
Pharmacy,1,Pharmacy Care Note,11,,
Radiology,,R HIP NAILING IN OR W/FILMS & FLUORO RIGHT,11,,
Radiology,,MR CARDIAC WITH CONTRAST,11,,
Radiology,,RP ANKLE (2 VIEWS) RIGHT PORT,11,,
Nursing,,Transfer Note,11,,
Radiology,,OR UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. RIGHT,11,,
Radiology,,RP FOOT 2 VIEWS RIGHT PORT,11,,
Radiology,,CT UPPER LIMB W/O CONTRAST,11,,
Radiology,,MR ABDOMEN W/CONTRAST,11,,
Rehab Services,1,PMV Evaluation/Dispense,11,,
General,1,micu attending pn,11,,
Radiology,,CT CYSTOGRAM (PEL) W/CONTRAST,11,,
Radiology,,"P CTA CHEST W&W/O C&RECONS, NON-CORONARY PORT",11,,
Radiology,,ENTEROSTOMT/CECOSTOMY,11,,
Radiology,,"RO ANKLE (AP, LAT & OBLIQUE) RIGHT IN O.R.",11,,
Radiology,,P COMPLETE GU U.S. (BLADDER & RENAL) PORT,11,,
Physician ,,MICU Resident/Attending Admission Note,11,,
Radiology,,RP CHEST (LAT DECUB ONLY) RIGHT PORT,11,,
Radiology,,"LP ELBOW, AP & LAT VIEWS LEFT PORT",11,,
Radiology,,INJ MYELO SPINAL (NOT -),11,,
Radiology,,PLCT GJ TUBE,11,,
Radiology,,PERC ASP/INJ RENAL CYST OR PELVIS,11,,
Physician ,1,PROGRESS NOTE,11,,
Physician ,1,Critical Care Staff,11,,
Radiology,,PERC PLCMT ENTROCLYSIS TUBE,11,,
Radiology,,MRA ABD W&W/O CONTRAST,11,,
Radiology,,MRA CHEST W&W/O C,11,,
Physician ,1,Fellow Progress Note - MICU,11,,
Radiology,,MRA ABDOMEN W/O CONTRAST,11,,
Radiology,,L MR SHOULDER W&W/O CONTRAST LEFT,11,,
Radiology,,MR SELLA WITH AND WITHOUT CONTRAST,11,,
Radiology,,"L ARTHROGRAM,HIP LEFT",11,,
Radiology,,"CATH, TRANSLUM ANGIO NONLASER",11,,
Radiology,,MR SPINAL CANAL LIMITED,11,,
Physician ,1,Physician Fellow Admission Note - MICU,11,,
Radiology,,"B ELBOW, AP & LAT VIEWS BILAT",10,,
Rehab Services,,Repeat PMV Evaluation,10,,
Radiology,,L KNEE (MIN 4 VIEWS) LEFT,10,,
Radiology,,LO UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST LEFT IN O.R.,10,,
General,1,MICU Attending Progress Note,10,,
Radiology,,LP UPPER EXTREM VEINS US LEFT PORT,10,,
Radiology,,"B HAND, AP & LAT. VIEWS BILAT",10,,
Radiology,,GASTROSTOMY TUBE CHANGE,10,,
Radiology,,B CLAVICLE BILAT,10,,
Radiology,,R KNEE( (SINGLE VIEW) RIGHT,10,,
Radiology,,R BX-NEEDLE KIDNEY BY NEPHROLOGIST RIGHT,10,,
Radiology,,LP FOOT 2 VIEWS LEFT PORT,10,,
Radiology,,R HAND (AP & LAT) SOFT TISSUE RIGHT,10,,
Radiology,,OL FOREARM (AP & LAT) IN O.R. LEFT,10,,
Radiology,,SACRUM,10,,
General,1,ICU Note,10,,
Radiology,,1SR ORDER THOR/BRACHIOCEPHALIC,10,,
Radiology,,"P MANDIBLE (PA, TOWNES & BOTH OBLS) PORT",10,,
Radiology,,INTRO CFA/SFA/ILIAC/POP GRAFT,10,,
Physician ,1,EP follow up note,10,,
Radiology,,"O C-SPINE, TRAUMA IN O.R.",10,,
Radiology,,LP CLAVICLE LEFT PORT,10,,
Radiology,,L CTA LOWER EXT W/&W/O C & RECONS LEFT,10,,
Radiology,,BP KNEE (2 VIEWS) BILAT PORT,10,,
Radiology,,P PORTABLE ABDOMEN PORT,10,,
Radiology,,MRI FAILED SCREENING,10,,
Radiology,,"BP HAND (AP, LAT & OBLIQUE) BILAT PORT",10,,
Physician ,1,Physician Attending / Resident Admission Note - MI,10,,
General,1,Cardiology Consult Follow-Up,10,,
Radiology,,"BP KNEE (AP, LAT & OBLIQUE) BILAT PORT",10,,
Physician ,1,Resident Progress Note - MICU,10,,
Radiology,,"THROMBOCTMY, PERC AVF",10,,
Radiology,,L AP WRIST & HAND LEFT,10,,
Radiology,,THORACIC ANGIOGRAM,10,,
Radiology,,MRI BREAST BIL W &W/O C,10,,
Radiology,,PERC TRANHEP PORTOGRAPHY WITH PRESSURES,10,,
Case Management ,1,Dc Planning,10,,
Physician ,1,ICU Intensivist Note,10,,
Radiology,,B MR CALF W&W/O CONTRAST BILAT,10,,
Radiology,,L 36215 1SR ORDER THOR/BRACHIOCEPHALIC LEFT,10,,
Radiology,,PTA TIBIOPERONEAL & BRANCHES,10,,
Radiology,,OR WRIST(3 + VIEWS) IN O.R. RIGHT,10,,
General,1,CCU Resident Progress Note,10,,
Radiology,,R EMERG. LOWER EXT VEINS RIGHT,10,,
Radiology,,UPPER EXTREM VEINS US,10,,
Radiology,,CYBER-INS MARKER LUNG/PLEURA,10,,
Radiology,,R US MAJOR JOINT ASP./INJ. RIGHT,10,,
Radiology,,L MR CALF W&W/O CONTRAST LEFT,10,,
Radiology,,P SKULL AP&LAT/C-SP/CXR/ABD SLG VIEWS MR SCREENING PORT,10,,
Physician ,1,Weekend Intensivist Addendum,10,,
Radiology,,LP CHEST (LAT DECUB ONLY) LEFT PORT,10,,
Radiology,,L MR THIGH W/O CONTRAST LEFT,9,,
Radiology,,"P SKULL (CALDWELL, LFT LAT, TOWNES & BASE) PORT",9,,
Radiology,,"R HAND, AP & LAT. VIEWS RIGHT",9,,
Radiology,,R CTA LOWER EXT W/&W/O C & RECONS RIGHT,9,,
Physician ,1,resident admission note,9,,
Radiology,,L BREAST CORE BIOSPY UNDER US LEFT,9,,
Radiology,,ABDOMEN & PELVIS US,9,,
Physician ,,Bronchoscopy Procedure Note,9,,
Radiology,,CT CHEST W/O CONTRAST W/ONC TABLES,9,,
Radiology,,TRANSCATH EMBO THERAPY,9,,
Radiology,,PR FEMORAL VASCULAR US PORT RIGHT,9,,
Radiology,,CT PERIRENAL DRIANAGE,9,,
Radiology,,PL VENOUS DUP EXT UNI (MAP/DVT) PORT LEFT,9,,
Radiology,,CT TORSO W/CONTRAST,9,,
Radiology,,IVC AND TRIBUTARIES US,9,,
Radiology,,EMERGENCY PELVIC U.S.,9,,
General,1,Death Note,9,,
Radiology,,EXTREM UNILAT VENOGRAPHY,9,,
Radiology,,"FLOURO GUIDE FRO BX, INJ, ASP ANY LOCATION",9,,
Radiology,,US PERC DRAIN PANCREATIC PSEUDOCYST,9,,
Radiology,,US RETROPER ABSCESS DRAIN PERC,9,,
Radiology,,GUIDANCE PERC TRANS BIL DRAINAGE US,9,,
Radiology,,"LO WRIST, AP & LAT VIEWS LEFT IN O.R.",9,,
Rehab Services,1,PT/Rehab Services Contact Note,9,,
Radiology,,CAROTID/CERVICAL BILAT,9,,
Radiology,,PL FEMORAL VASCULAR US PORT LEFT,9,,
Radiology,,CARDIAC PERFUSION 2-DAY,9,,
Radiology,,R CT LOW EXT W&W/O C RIGHT,9,,
Radiology,,R BREAST CORE BIOSPY UNDER US RIGHT,9,,
Radiology,,B MRA LEG W&W/OC BILAT,9,,
Radiology,,"R ARTHROGRAM,HIP RIGHT",9,,
Radiology,,R AP WRIST & HAND RIGHT,9,,
Radiology,,"BP ANKLE (AP, MORTISE & LAT) BILAT PORT",9,,
Radiology,,R 50398 CHG NEPHROSTOMY UNILAT RIGHT,9,,
Radiology,,R 36215 1SR ORDER THOR/BRACHIOCEPHALIC RIGHT,9,,
Radiology,,L-SPINE (WITH FLEX & EXT),9,,
Radiology,,MRA KIDNEY W &W/O C (ABD),9,,
Physician ,1,CVI note,9,,
Radiology,,MRA CHEST W/CONTRAST,9,,
Radiology,,C-SPINE TRAUMA W.OBL 4 VIEWS,9,,
Radiology,,STENT PLACEMENT POST-ESOPHAGEAL DILATATION,9,,
Radiology,,PTA RENAL/VISERAL,9,,
Physician ,1,Resident Physician Progress Note,9,,
Radiology,,EXTCHG/INF CATH,9,,
Case Management ,1,Case Management Dicharge Plan,9,,
Case Management ,1,DC Plan,9,,
Radiology,,OL UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. LEFT,9,,
Radiology,,"RO ELBOW (AP, LAT & OBLIQUE) RIGHT IN O.R.",9,,
Physician ,1,ICU attending addendum,9,,
Radiology,,"P BILAT HIPS (AP,LAT & AP PELVIS) PORT",9,,
Physician ,,MICU staff PN,9,,
Physician ,1,Physician Resident and Attending  Progress Note,9,,
Physician ,,Procedure Note,9,,
Physician ,1,Physician Attending/ Resident Admission Note - MIC,9,,
Radiology,,R MR KNEE W&W/O CONTRAST RIGHT,9,,
Radiology,,OP HIP 1 VIEW IN O.R. PORT,9,,
General,1,Physician Progress Note-CCU,8,,
Radiology,,J TUBE CHANGE,8,,
Rehab Services,1,Deferred Swallowing Evaluation,8,,
Radiology,,R CT LOWER LIMB W/O CONTRAST RIGHT,8,,
Radiology,,PAROTID US,8,,
Radiology,,EMBO INTRACRANIAL/SPINAL CORD,8,,
Physician ,1,MICU Attending Note,8,,
General,1,MICU Resident Admission Note,8,,
General,1,Cardiology Physician note,8,,
Radiology,,RO ANKLE (2 VIEWS) RIGHT IN O.R.,8,,
Radiology,,BILATERAL,8,,
Consult,1,Cardiology Consult,8,,
General,1,Physical Therapy Contact Note,8,,
Radiology,,INSERT TUN IP CATH PERC,8,,
Radiology,,"PERC VERTEBROPLSTY, THORACIC",8,,
Radiology,,"OP LUMBAR SP,SINGLE FILM IN O.R. PORT",8,,
Radiology,,PARACENTESIS  INITAL PROC,8,,
Radiology,,RO KNEE (2 VIEWS) RIGHT IN O.R.,8,,
Radiology,,CT TORSO W/O CONTRAST,8,,
Radiology,,"OR WRIST, AP & LAT VIEWS IN O.R. RIGHT",8,,
Radiology,,"LO HAND (AP, LAT & OBLIQUE) LEFT IN O.R.",8,,
Physician ,1,MICU staff admit note,8,,
Radiology,,O LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R.,8,,
Radiology,,"RO FOOT AP,LAT & OBL RIGHT IN O.R.",8,,
Radiology,,DEFOGRAM,8,,
Rehab Services,1,PMV Follow Up,8,,
Radiology,,ABDOMINAL AORTOGRAM,8,,
Radiology,,BP HUMERUS (AP & LAT) BILAT PORT,8,,
Radiology,,L CT LOWER LIMB W/O CONTRAST LEFT,8,,
Nursing,1,Nursing 1900 - 0700,8,,
Radiology,,US DRAIN PELV ABSCESS,8,,
Radiology,,L FEMUR (AP & LAT) SOFT TISSUE LEFT,8,,
Nursing,1,Nursing 2000-0700,8,,
Nursing,1,Nursing 2300 - 0700,8,,
Physician ,1,CCU Resident Admission Note,8,,
Radiology,,O CHEST (PA & LAT) IN O.R.,8,,
Radiology,,"C-SPINE, NON-TRAUMA (WITH FLEX & EXT)",8,,
Radiology,,CT TRACHEA W&W/O C & RECONS,8,,
Radiology,,ANGIO EXT BILAT S&I,8,,
Radiology,,P ART EXT SGL LEVEL PORT,8,,
Radiology,,"L-S SPINE (STANDING AP,FLEX & EXT) 3 VIEWS",8,,
Radiology,,L KNEE STANDING 2 VIEWS LEFT,8,,
Physician ,1,Fellow / Physician Attending Progress Note - MICU,8,,
Radiology,,NON-IONIC 30 CC,8,,
Rehab Services,1,Contact Note,8,,
Radiology,,NEONATAL HEAD,8,,
Radiology,,P AORTA AND BRANCHES PORT,8,,
Radiology,,"B PATELLA (AP, LAT & SUNRISE) BILAT",8,,
Radiology,,FISUTLOGRAM INJ THRU SINUS TRACT,8,,
Radiology,,SPINAL PUNCTURE/DRAINAGE,8,,
Radiology,,LP ELBOW (AP & LAT) SOFT TISSUE LEFT PORT,8,,
Radiology,,B MR HIP W&W/O CONTRAST BILAT,8,,
Physician ,1,Resident Progress Note MICU,8,,
Consult,1,Electrophysiology,8,,
Radiology,,RP CLAVICLE RIGHT PORT,8,,
Radiology,,THERAPY FOR BONE PAIN,8,,
Radiology,,CT CARDIAC STRUCTURE/MORPH W/CTA W/QUANTITATIVE CALCIUM,8,,
Physician ,1,Physician Resident/Attending Admission Note,8,,
Radiology,,L PUNC ASP ABSECC/HEMATOMA/BULA/CYST LEFT,8,,
Physician ,1,Resident Physician Progress Note - MICU,8,,
Radiology,,"LP FINGER(S),2+VIEWS LEFT PORT",8,,
Radiology,,B HAND (AP & LAT) SOFT TISSUE BILAT,8,,
Physician ,1,Cardiology Resident Progress Note,8,,
Radiology,,"OR ANKLE (AP, LAT & OBLIQUE) IN O.R. RIGHT",8,,
Physician ,1,Resident MICU Progress Note,8,,
Radiology,,B STAND FEET (AP&LAT) NON-STAND OBL 3 VIEWS BILAT,8,,
Radiology,,L MR KNEE W&W/O CONTRAST LEFT,8,,
Radiology,,INJ/ASO MAJOR JT W/FLUORO,8,,
Physician ,1,Cardiology Fellow Admission Addendum,8,,
General,,Procedure Note,8,,
Radiology,,B AP WRIST & HAND BILAT,8,,
Physician ,1,Physician Fellow Progress Note,8,,
Radiology,,"RO WRIST, AP & LAT VIEWS RIGHT IN O.R.",8,,
Radiology,,OR FOREARM (AP & LAT) IN O.R. RIGHT,8,,
Radiology,,EXT BILAT A-GRAM,8,,
Radiology,,R ANKLE AP & LAT STANDING RIGHT,8,,
Radiology,,R KNEE (PORTABLE) RIGHT,8,,
Radiology,,"FACIAL BONE (CALDWELL, WATERS, LAT & BASE)",8,,
Radiology,,R HUMERUS (AP & LAT) SOFT TISSUE RIGHT,8,,
Radiology,,CHEST (APICAL LORD ONLY),8,,
Radiology,,"LO ELBOW, AP & LAT VIEWS LEFT IN O.R.",7,,
Radiology,,BILIARY BIOSPY VIA T-TUBE,7,,
Radiology,,GUID WIRES INFU/PERF,7,,
Radiology,,"BALLON ANGIOPLASTY, INTRACRANIAL, PERCUTANEOUS",7,,
Radiology,,O HIP UNILAT MIN 2 VIEWS IN O.R.,7,,
Radiology,,R THUMB (AP & LATERAL) RIGHT,7,,
Radiology,,R 36216 2ND ORDER THOR/BRACHIOCEPHALIC RIGHT,7,,
Physician ,1,Critical Care Attending,7,,
Radiology,,"ARTHROGRAM,SHOULDER",7,,
General,1,Electrophysiology,7,,
Radiology,,SEL CATH PLACMT LT/RT PUL ARTERY,7,,
Radiology,,LOOPOGRAM/ILEOGRAM,7,,
Radiology,,FDG TUMOR IMAGING,7,,
Radiology,,"SPINE, SINGLE FILM",7,,
Radiology,,LUNBAR SPINAL PUNCTURE,7,,
Radiology,,LP KNEE( (SINGLE VIEW) LEFT PORT,7,,
Radiology,,P ART DUP EXT LOW/BILAT COMP PORT,7,,
Physician ,,Electrophysiology Consult Note,7,,
Radiology,,FINE NEED ASP W/GUID,7,,
Radiology,,RP ELBOW (AP & LAT) SOFT TISSUE RIGHT PORT,7,,
Radiology,,LO KNEE (2 VIEWS) LEFT IN O.R.,7,,
Radiology,,MR PELVIS W/O CONTRAST,7,,
Radiology,,L ANKLE 1 VIEW LEFT,7,,
Radiology,,MAMMOGRAPHY CONSULT NON-BIDMC FILMS,7,,
Physician ,1,Physician fellow Progress Note,7,,
Radiology,,B KNEE( (SINGLE VIEW) BILAT,7,,
Radiology,,"RP FINGER(S),2+VIEWS RIGHT PORT",7,,
Physician ,1,Fellow / Attending Notes,7,,
General,1,micu staff pn,7,,
Radiology,,PERSANTINE MIBI MIBI,7,,
Radiology,,PP CHEST FLUORO WITHOUT RADIOLOGIST PORT PORT,7,,
Radiology,,GUID FOR PSEUDOANUREYSM (INJECTION),7,,
Radiology,,MR CHEST ANGIOGRAM,7,,
Radiology,,P LUMBO-SACRAL SPINE (AP & LAT) PORT,7,,
General,1,ICU note,7,,
Physician ,1,Resident Progress Note- MICU,7,,
General,1,Cardiology Physician Note,7,,
Radiology,,L US MAJOR JOINT ASP./INJ. LEFT,7,,
Rehab Services,1,Swallow Consult,7,,
General,1,Cardiology Consult,7,,
Radiology,,L STEREOTACTIC MAMMO CORE BIOPSY LEFT,7,,
Physician ,1,Physician Fellow/ Attending Progress Note - MICU,7,,
Radiology,,P CAROTID DUPLEX US PORT,7,,
Radiology,,OL HUMERUS (AP & LAT) IN O.R. LEFT,7,,
Radiology,,P L-SPINE (AP & LAT) PORT,7,,
Radiology,,R KNEE STANDING 2 VIEWS RIGHT,7,,
Physician ,1,Resident and Attending Notes,7,,
Physician ,1,CCU Fellow addendum,7,,
Radiology,,OL KNEE( (SINGLE VIEW) IN O.R. LEFT,7,,
Radiology,,MR FOOT W&W/O CONTRAST,7,,
Radiology,,THYROID ABLATION: GRAVES,7,,
Radiology,,A/C JOINTS BILAT,7,,
Physician ,1,CCU Admission Note,7,,
Physician ,1,Physician Fellow Progress Note - MICU attending ad,7,,
Radiology,,CT LOC BX,7,,
Radiology,,CT COLON TECH ABD/PEL W/OC,7,,
Physician ,1,Physician Felllow / Attending Progress Note - MICU,7,,
Physician ,1,Physician Fellow Admission Note,7,,
Social Work,1,Social Work Note,7,,
Radiology,,L MAMMOGRAPHY SPECIMEN LEFT,7,,
Physician ,,ICU Physican Progress Note,7,,
Radiology,,"OL FOOT AP,LAT & OBL IN O.R. LEFT",7,,
General,1,Initial EP Consult Note,7,,
Physician ,1,Physician ICU Admission Note,7,,
General,1,MICU Attending,7,,
Radiology,,"LO ANKLE (AP, MORTISE & LAT) LEFT IN O.R.",7,,
Physician ,1,ICU Physician Note,7,,
Radiology,,L CT LOW EXT W&W/O C LEFT,7,,
Radiology,,L CT LOW EXT W/O C & RECONS LEFT,7,,
Physician ,1,MS4 Progress Note,7,,
Radiology,,MR PITUITARY W/O CONTRAST,7,,
Radiology,,CXR WITH NIPPLE MARKERS 2 VIEWS,7,,
Radiology,,L MR WRIST W/O CONTRAST LEFT,7,,
Case Management ,1,Discharge Plan - Final,7,,
Physician ,1,micu attending progress note,7,,
Radiology,,R FOREARM (AP & LAT) SOFT TISSUE RIGHT,7,,
Rehab Services,1,PT/Rehab Services,7,,
Radiology,,R MR ANKLE W&W/O CONTRAST RIGHT,7,,
Radiology,,MR LIVER WITH CONTRAST,7,,
Radiology,,"STENT INTRACRANIAL INCL PTA, ATHEROSCLEROSIS",7,,
Radiology,,OL WRIST(3 + VIEWS) IN O.R. LEFT,7,,
Physician ,1,ICU Fellow/Attending Progress Note - MICU,7,,
Radiology,,"L-SPINE (WITH FLEX, EXT & OBL)",7,,
Physician ,1,critical care note,7,,
Radiology,,L FOOT 1 VIEW LEFT,7,,
Radiology,,O PELVIS W/JUDET VIEWS (3V) IN O.R.,7,,
Radiology,,OL KNEE (2 VIEWS) IN O.R. LEFT,7,,
Radiology,,LP HAND (AP & LAT) SOFT TISSUE LEFT PORT,6,,
Radiology,,FNA ANY LOCATION,6,,
Radiology,,B SHOULDER 1 VIEW BILAT,6,,
Radiology,,R BABYGRAM CHEST DECUB ONLY (71035) RIGHT,6,,
Radiology,,P ABDOMEN U.S. (PORTABLE) PORT,6,,
Radiology,,"US NECK, SOFT TISSUE",6,,
Radiology,,MR S.T. NECK W & W/O GADO,6,,
Radiology,,US PER DRAIN SUBDIAPHRAM ABSCESS,6,,
Radiology,,PR TIB/FIB (AP & LAT) PORT RIGHT,6,,
Radiology,,FACIAL BONE (WATERS & LAT),6,,
Radiology,,CT FISTULOGRAM/SINOGRAM,6,,
Radiology,,B LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST BILAT,6,,
Radiology,,B VENOUS DUP EXT UNI (MAP/DVT) BILAT,6,,
Physician ,1,Attending progress note,6,,
Rehab Services,,PMV Evaluation and Green-Dye Bedside Swallowing Ev,6,,
Physician ,1,Cardiology Fellow Addendum,6,,
Radiology,,US CHEST WALL SOFT TISSUE,6,,
Radiology,,PTA FEMORAL/POPLITEAL,6,,
Radiology,,LYMPH NODE BX DEEP-RETROPERITONEAL,6,,
Radiology,,US GUID FOR NEEDLE PLACEMENT,6,,
Physician ,1,MICU resident progress note,6,,
General,1,micu staff PN,6,,
Rehab Services,1,PMV Follow-Up,6,,
Radiology,,"CT,CORONAL,SAGITAL,OBL RECONSTRUCTION",6,,
